position_name,job_keywords
采购/贸易-采购-买手,"采购策略,时尚趋势,供应商关系,产品采购,库存管理"
生产制造-技工/普工-折弯工,"生产制造,手工技艺,折弯加工,设备操作,质量控制"
医疗健康-其他医疗健康职位-医学编辑,"医学专业知识,编辑审校能力,医学出版,学术沟通,内容创作"
人力/财务/行政-财务-审计,"审计流程,财务分析,风险评估,合规检查,报告编制"
供应链/物流-物流-供应链经理,"供应链管理,采购流程,成本控制,供应商管理,团队领导"
生产制造-技工/普工-注塑工,"注塑操作,设备调试,工艺优化,质量控制,生产管理"
技术-测试-功能测试,"功能测试,软件测试,硬件测试,质量控制,产品测试"
销售-服务业销售-旅游顾问,"销售技巧,客户服务,旅游产品知识,市场推广,定制旅行方案"
人力/财务/行政-行政-行政专员/助理,"行政管理,人事招聘,文档整理,沟通协调,办公用品采购"
设计-视觉/交互设计-广告设计,"广告设计,平面设计,CDR/PS软件操作,创意设计,营销宣传"
服务业-运动健身-救生员,"救生技能,健身指导,安全监控,应急处理,游泳池管理"
传媒-影视媒体-经纪人/星探,"艺人招募,直播运营,达人管理,商业谈判,平台策略"
服务业-餐饮-后厨,"炸串制作,食材切配,餐具洗涤,菜品出品质量,后厨日常运营"
生产制造-服装/纺织/皮革-面料辅料开发,面料采购成本控制
生产制造-生产营运-生产总监,"生产管理,质量控制,供应链管理,生产流程优化,团队领导"
设计-视觉/交互设计-3D设计师,"3D建模,视觉审美,创意设计,团队合作,项目管理"
医疗健康-医生/医技-内科医生,"内科医生,病历管理,诊断治疗,医疗咨询,病人沟通"
采购/贸易-进出口贸易-单证员,"进出口单证,贸易流程,文件审核,数据准确,客户沟通"
医疗健康-健康整形-康复治疗师,"康复治疗,言语康复,运动康复,行为分析,中医理疗"
传媒-采编/写作/出版-记者/采编,"新闻采集,内容创作,报道撰写,版面编排,采访技巧"
设计-视觉/交互设计-设计师助理,"室内设计,平面资料整合,施工图制作,客户沟通,软件操作"
咨询/翻译/法律-咨询/调研-猎头顾问,"猎头服务,客户关系管理,岗位需求分析,人才搜寻,背景调查"
技术-运维/技术支持-网络工程师,"网络维护,故障排除,网络安全,系统升级,支持服务"
金融-证券/基金/期货-量化研究员,"量化研究,策略开发,数据分析,模型优化,市场研究"
销售-外贸销售-外贸业务员,"销售谈判,外贸知识,客户关系,市场开发,英语沟通"
技术-电子/半导体-电气工程师,"电子技术,电路设计,半导体知识,电气分析,工程项目管理"
生产制造-机械设计/制造-机械结构工程师,"机械设计,结构创新,产品开发,技术支持,结构优化"
供应链/物流-交通/运输-配送员,"配送服务,商品配送,送餐服务,骑手管理,货物安全"
运营-运营-运营助理/专员,"运营专员,活动策划,数据分析,电商平台运营,客户服务"
咨询/翻译/法律-咨询/调研-知识产权/专利/商标代理人,"专利撰写,知识产权申请,客户服务,专利检索分析,技术沟通"
服务业-安保/家政/维修-保洁经理,"保洁管理,人员培训,客户沟通,卫生监督"
传媒-影视媒体-制片人,"创意开发,项目管理,影视制作,团队协调,剧本评估"
运营-编辑-文案编辑,"运营策划,文案撰写,新媒体运营,广告创意,内容编辑"
生产制造-技工/普工-空调工,"空调安装,维修技能,中央空调,设备保养,运行操作"
