first_second,job_keywords,merge_keywords,translate_keywords
产品-产品经理,"游戏策划,系统设计,玩法优化,团队协调,数值平衡,产品设计,需求分析,项目管理,市场调研,团队协作,产品规划,需求分析,市场调研,项目管理,迭代优化,数据分析,产品规划,用户研究,技术集成,创新驱动,电商产品管理,市场调研,产品规划,新品开发,用户需求分析,AI产品规划,需求分析,产品管理,市场分析,AI技术应用,产品开发,市场分析,产品管理,销售与推广,客户服务,硬件产品开发,产品规划,市场调研,硬件设计,项目管理","游戏策划,系统设计,玩法优化,团队协调,数据分析,产品规划,市场调研,用户研究","['game design and planning', 'system design', 'gameplay optimization', 'team coordination', 'data analysis', 'product planning', 'market research', 'user research']"
产品-高端产品职位,"产品开发,市场洞察,团队领导,产品策略,用户体验","产品开发,市场洞察,团队领导,产品策略,用户体验","['product development', 'market insight', 'team leader', 'product strategy', 'user experience']"
人力/财务/行政-人力资源,"人力资源规划,培训规划,课程开发,企业文化建设,人力资源管理,需求调研,招聘管理,员工关系,薪酬福利,招聘流程,法规遵循,企业文化建设,文化活动策划,员工关系管理,公关宣传,文化传播推广,招聘管理,员工关系,薪酬福利,组织发展,劳动法规,人力资源管理,招聘与配置,绩效评估与优化,团队与文化建设,业务合作支持,员工关系管理,招聘流程,培训发展,组织文化,劳动法规,组织发展,人才管理,培训规划,绩效评估,系统建设,薪酬核算, 绩效考核, 数据分析, 制度设计, 体系优化,招聘管理,人才筛选,面试流程,招聘计划,候选人管理","人力资源规划,培训规划,课程开发,企业文化建设,招聘管理,薪酬福利,绩效评估,组织发展","['human resource planning', 'current training planning', 'course development', 'corporate culture construction', 'management recruitment', 'salary and benefits', 'performance appraisal', 'organizational development']"
人力/财务/行政-法务,"法务管理,合同审核,风险控制,合规检查,纠纷处理,法律专业知识,案件处理,合同审核,权益维护,法律咨询,法律咨询, 客户关系管理, 合同管理, 案件跟进, 法务服务,合同管理,法律咨询,法务审核,法律文档处理,知识产权保护","法务管理,合同审核,风险控制,纠纷处理,法律专业知识,案件处理,合同管理,法务服务","['Legal Affairs Management', 'contract review', 'risk control', 'dispute resolution', 'legal professional knowledge', 'case handling', 'contract management', 'legal services']"
人力/财务/行政-行政,"行政管理,人事招聘,文档整理,采购管理,客户服务,行政管理,客户服务,项目协调,文档管理,人员培训,文件管理,行政支持,数据录入,文书工作,会议安排,前台接待,客户服务,行政管理,办公环境维护,信息登记,管理能力,组织协调,行政决策,人事资源,政策执行,行政管理,后勤服务,物资保管,客户沟通,文档管理,人力资源管理,行政事务协调,团队领导,办公流程优化,预算控制","行政管理,人事招聘,采购管理,项目协调,数据录入,客户服务,后勤服务,文档管理","['administration', 'human resources recruitment', 'Procurement Management', 'project coordination', 'Data entry', 'customer service', 'logistics services', 'document management']"
人力/财务/行政-财务,"审计流程,财务分析,风险评估,合规检查,报告编制,税务规划,财务分析,税务申报,法规遵从,成本控制,财务管理,预算控制,财务报告,资金运营,团队领导,统计数据分析, 财务报表制作, 库存管理, 数据录入, ERP系统操作,成本核算, 财务管理, 预算控制, 成本分析, 成本会计报告,供应链管理,财务分析,预算管理,成本控制,数据分析,财务报表等。,会计师事务所等）的良好关系。,税务管理、财务报告、团队建设与领导,总账会计,财务报表,纳税申报,会计核算,成本控制,结算会计,财务管理,数据分析,应收应付款处理,发票管理,税务处理,外勤服务,财务报表,税务审计,会计法规,现金处理,财务报表,银行对账,发票管理,资金监控,建筑/工程会计,税务申报,财务报表编制,成本核算,账务管理","审计流程,财务分析,风险评估,合规检查,报告编制,税务规划,资金运营","['现在审计流程: ""audit process at present""', 'financial analysis', 'risk assessment', 'compliance inspection', 'report preparation', 'tax planning', 'capital operation']"
传媒-影视媒体,"艺人招募, 直播运营, 达人管理, 商业谈判, 娱乐内容制作,创意发想,项目管理,影视制作,预算控制,团队协调,艺人行程管理, 社交媒体运营, 视频编辑制作, 客户沟通协调, 选角选拔工作,编写与创意策划。,儿童教育,影视制作,表演艺术,情感引导,观众互动,特效制作,后期剪辑,三维动画设计,Houdini软件应用,视觉设计与制作,剪辑技术,视觉创意,故事叙述,后期制作,媒体软件,直播中控, 产品管理, 气氛营造, 粉丝互动, 数据监控,活动主持, 直播技巧, 情感音乐内容, 剧本杀游戏主持, 直播互动,传媒,直播技术,节目制作,观众互动,表达能力,灯光设计,影视拍摄,视觉效果,设备操控,现场调控,编导、脚本撰写、拍摄与后期制作以及数据分析优化。,剧本杀主持, 客户服务, 角色扮演, 游戏管理, 体验优化,后期制作,视频剪辑,特效合成,创意策划,素材管理,摄影/摄像, 视频剪辑, 短视频制作, 脚本策划, 商业广告项目,创意构思,影视剧本,市场分析,媒体合作,项目管理,游戏直播,粉丝互动,直播推广,游戏技能展示,互动交流,带货主播,直播销售,产品展示,粉丝互动,带货技巧,录音混音技术支持,音效设计与制作,声音录制与处理,现场扩声技术操作,演出音响调试维护,视频剪辑,创意设计,后期制作,音效同步,视觉效果,直播, 化妆技巧, 角色扮演, 短视频拍摄, 模特展示,化妆/造型/服装设计,客户服务,摄影配合,形象管理,销售技能","影视制作,艺人招募,直播运营,商业谈判","['film and television production', 'talent recruitment', 'live streaming operation', 'business negotiation']"
传媒-采编/写作/出版,"新闻采集,内容创作,报道撰写,版面编排,采访技巧,原创文学创作, 微信公众号推文, 剧本杀创作, 短视频文案撰写, 娱乐类文章撰写,校对录入,档案数字化,数据录入与核对,教辅图书编辑,客户信息整理,内容策划,文字编辑,版面设计,团队协作,媒体规范,印刷排版设计,图文快印服务,书籍装帧设计,平面设计制作,设备操作维护,出版发行,市场营销,内容策划,渠道管理,质量控制","新闻采集,内容创作,报道撰写,采访技巧,微信公众号推文,原创文学创作,剧本杀创作,短视频文案撰写","['news gathering', 'content creation', 'news writing', 'interview skills', 'WeChat public account article', 'novel creation', 'creating script for murder mystery roleplaying', '短视频文案撰写: ""Short video scriptwriting""']"
供应链/物流-交通/运输,"配送服务,商品配送,送餐服务,骑手服务,货物装卸,网约车驾驶,客户服务,接单运营,订单完成,车辆管理,代驾服务,驾驶技能,客户服务,车辆管理,夜间工作,驾驶技能,路线规划,客户服务,安全意识,时刻表管理,快递派送,客户服务,路线规划,时间管理,包裹处理,飞行、飞行计划制定、飞行数据分析、航线勘察、飞行安全保障。,驾校教练,驾驶教学,学员管理,实操培训,科目二科目三,运输成本控制,物流调度管理,承运商管理,运输业务运营,物流网络优化,货运驾驶,路线规划,货物装载,安全法规,长途驾驶","配送服务,商品配送,送餐服务,车辆管理,客户服务,路线规划","['distribution service', 'product delivery', 'current food delivery service', 'vehicle management', 'customer service', 'route planning']"
供应链/物流-仓储,"仓储管理,库存控制,物流配送,团队协调,系统操作,仓库管理,库存控制,货物分拣,货物出入,仓储系统,仓库管理, 数据录入, 订单处理, 库存控制, 办公室行政,仓储管理,货物分拣,发货效率,库存控制,物流协调","仓储管理,库存控制,物流配送,团队协调,系统操作,货物分拣","['warehouse management', 'inventory control', 'logistics distribution', 'team coordination', 'variety improvement', 'product sorting']"
